Exchange,Token,Categories,Trading Pair,Market,Last Traded At,Bid/Ask Spread Percentage,Volume,Current Price (USD),Market Cap (USD),Total Volume (USD),"High (24h, USD)","Low (24h, USD)","Price Change (24h, USD)",Price Change Percentage (24h),Price Change Percentage (7d),Price Change Percentage (14d),Price Change Percentage (30d),Price Change Percentage (60d),Price Change Percentage (200d),Price Change Percentage (1y),Trading Volume (24h),Market Cap Change (24h),Market Cap Change Percentage (24h)
kucoin,GRT,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T00:47:23+00:00,0.026283%,4433802.0842,0.151182,1443928119,62564216,0.158344,0.1483,0.00227305,1.52647,4.32139,12.97845,5.62499,-31.13088,-52.05412,67.52659,62564216,15091910,1.05624
kucoin,BONK,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:31+00:00,0.073746%,59289170002.6507,1.736e-05,1205816310,184459135,1.824e-05,1.682e-05,3.69898e-07,2.17769,1.62055,10.76888,-4.03233,-45.67425,-34.44168,8426.4359,184459135,25786809,2.18527
kucoin,GALAX,Gaming (GameFi),USDT,KuCoin,2024-09-20T00:47:25+00:00,0.051653%,28050633.2944,0.01917885,747882671,116561438,0.02015802,0.01895031,2.178e-05,0.11372,5.85092,10.3325,8.03488,-27.33133,-57.19119,34.00926,116561438,1425136,0.19092
kucoin,AXS,"Gaming (GameFi), Metaverse, Gaming Governance Token, Gaming Utility Token",USDT,KuCoin,2024-09-20T00:47:25+00:00,0.020446%,25863.195,4.86,728506868,28298531,4.98,4.78,0.070977,1.48151,2.90673,9.3384,1.83172,-24.27758,-52.58429,6.39241,28298531,10629117,1.48063
kucoin,FLOKI,"Gaming (GameFi), Metaverse, Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T00:47:30+00:00,0.077101%,17465629364.0,0.00012835,1244354470,341746129,0.00013803,0.00012796,-5.28100696822e-07,-0.40977,3.00262,8.27843,2.60567,-37.91055,-8.41822,707.38138,341746129,2121049,0.17074
kucoin,MANA,Metaverse,USDT,KuCoin,2024-09-20T00:47:23+00:00,0.024072%,274071.2343,0.2894,540035707,41996539,0.29482,0.283814,0.00338754,1.18441,4.60682,11.94842,7.75427,-20.30442,-56.11145,-3.07807,41996539,5799110,1.08549
kucoin,POPCAT,Meme,USDT,KuCoin,2024-09-20T00:47:34+00:00,0.067514%,2243029.16,0.879726,862425048,144748317,0.930297,0.84177,0.02182135,2.54356,31.31054,64.85663,104.03544,-5.86754,970.62249,0.0,144748317,19634616,2.32972
kucoin,SUPER,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:20:06+00:00,0.114811%,1478494.74,0.869721,392893700,48181874,0.943474,0.869435,-0.039852655927418,-4.38147,7.39982,39.80239,57.00716,23.88738,-40.03926,970.70109,48181874,-17805836.731354,-4.33549
kucoin,TRUF,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:18:38+00:00,0.027397%,403714.8,0.07306,12884869,125562,0.07487,0.071746,2.55e-06,0.0035,0.39643,-9.56965,-24.525,-61.68451,0.0,0.0,125562,35285,0.2746
kucoin,MANA,Metaverse,USDT,KuCoin,2024-09-20T01:18:59+00:00,0.031088%,268023.8466,0.289675,540035707,42014489,0.29482,0.283814,0.003663,1.28071,4.70639,12.05497,7.85683,-20.22857,-56.06968,-2.98582,42014489,5799110,1.08549
kucoin,IMX,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:19:01+00:00,0.046996%,629594.7121,1.49,2395196234,106313744,1.54,1.37,0.114731,8.32677,19.82909,27.63473,28.35114,-9.76609,-54.77755,173.25473,106313744,185474788,8.39358
kucoin,MEME,"Meme, GMCI Meme Index",USDT,KuCoin,2024-09-20T01:20:11+00:00,0.076401%,11026100.5979,0.01046675,276948698,68871853,0.01099047,0.01038704,4.322e-05,0.41467,6.84985,17.52339,-1.18982,-38.91048,-79.21816,0.0,68871853,950694,0.34446
kucoin,OM,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:20:06+00:00,0.138962%,456948.9704,1.11,940009963,31244454,1.16,1.1,-0.03572870804497,-3.10884,-4.22089,22.04906,31.27983,-18.72498,301.02726,5731.27755,31244454,-30232866.413537,-3.11601
kucoin,SUNDOG,Meme,USDT,KuCoin,2024-09-20T01:20:14+00:00,0.118808%,26671915.4318,0.329313,328483023,162824149,0.357742,0.322438,-0.001936090777209,-0.58448,-3.02424,54.23585,52.55969,0.0,0.0,0.0,162824149,-2766332.759404,-0.83512
